0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Bacteroides,Bifidobacterium,Blautia,Clostridium,Eubacterium,Faecalibacterium,Parabacteroides,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
Health,Bacteroides,Clostridium,Faecalibacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Ruminococcus,,,,,,,,,,,,,,,,,,,,,,
Health,Alistipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Dorea,Eubacterium,Faecalibacterium,Oscillibacter,Parabacteroides,Roseburia,Ruminococcus,,,,,,,,,,,,,,,,,,,,,
